Name,Platform,Submitted by,Date submitted,Ad Size / Format,Priority,Description,Inspiration,Figma URL,File Upload,Status,Assigned,Slack Thread URL,Message TS
Election Race Creative,X/Twitter,,11/13/25,16:9,Medium,"going to run a few different versions of creative over the next couple days through the election (16th)

creative is 16:9, dark and will go have X native text over it (headline, description, promoted by mssg)
top right will have a tooltip so it’s a dead zone

some context: the election is a 3 candidate race with one outright favorite and two challengers, the outright favorite represents a huge shift in the political power and ideas within the country, so I think that is a strong storyline to pull upon

scoping out the creative in here - I want to use some of our learnings from the NYC mayoral election in regards to sensationalist creative to drive strategy here (favorite “crumbles”, challenger “skyrockets”, etc.)

imo, the creative looks like:
1. Solo-candidate headshots - happy and sad face versions for each with odds delta
2. all 3 candidate headshots together w/ flag icon
3. graph (obscured) with odds deltas
4. bar chart odds (visible) with flag icon
5. party shift creative (incumbent is left wing, leader is far-right) (haven’t scoped this out yet)
6. Polymarket was right (lowest prio, need to after election, will start working on concepts this afternoon)
• i used some headshots - those are more or less placeholders for the concept - open to using better images that work better together and look consistent
• open to using other background visuals other than the flag - just was lowhanging fruit
• let’s dial in the copy in English first, then will get it translated",,https://www.figma.com/design/c8ttU45GXKPDImBXNwB5zW/Chile?node-id=3-664&t=tJBe9mPD8D3BhGZy-4,,New,,,1763061165.581439
Aesthetic Exploration Variations,Social,,11/12/25,"1:1, 9:16",Medium,"exploring a new aesthetic to piggyback off of the “coming soon” creative that did well

came up w/ 4 different variations in 1:1 and 9:16, can you check for dead zones and help optimize logo placement/sizing in case it looks off and then add to retargeting campaign",,https://www.figma.com/design/TFVPyIYl4HNvlCSCy50wtb/Aesthetic-Exploration?node-id=17-12&t=RjR5bEVjwoc07Vox-4,,New,,,1762982290.839189
Fees Comparison Bar Chart,Social,,11/12/25,,Medium,"want to run with a concept for comparing fees on a trade for polymarket vs. sportsbooks using a bar chart

want to sensationalize the difference as a form of education for users",,https://www.figma.com/design/OudFLZRVSD2iijvMda8Uv0/Launch-Statics-10-2?node-id=639-3261&t=KVLILEWKC4XreAji-4,,New,,,1762979017.157079
Side-by-Side Bet Slips Graphic,Social,,11/10/25,,Medium,"would love to run with an idea off of the “those other apps” format

instead of the “locked out”, showing side by side bet slips that emphasizes fees/payouts

we’d want to use our UI for a successful winning resolved bet & use a abstracted UI from the large sportsbooks so it helps connect w/ users who already familiar with it

rough screenshot attached",https://www.figma.com/design/oNc959dRXzFRbRdWbDkW0R/Polymarket-Ad-Master-Doc?node-id=383-2637&t=1d8GGNaRbHFILreR-4,https://www.figma.com/design/oNc959dRXzFRbRdWbDkW0R/Polymarket-Ad-Master-Doc?node-id=383-2637&t=1d8GGNaRbHFILreR-4,image.png,New,,,1762800818.174949
Earnings Beat Ads,Social,,11/10/25,,Medium,"""Will NVDA beat earnings?"" Picture of Jensesn (use the template w picture of Elon) ""Trade now""

Will Palo Alto Networks beat earnings? Palo Alto networks Logo (use template with just corp logo) ""Trade Now""

Will Pelosi's Favorite Company Crush Earnings? use AI Picture of Pelosi as a stock trader, as attached ""Trade Now""",,,"Screenshot 2025-11-10 at 9.13.31 AM.png, Screenshot 2025-11-10 at 9.13.41 AM.png, Screenshot 2025-11-10 at 9.11.26 AM.png",New,,,1762784067.644339
Update DraftKings Graphic,Social,,11/06/25,,Medium,"can you update this graphic and drafkings fanduel and betmgm with Tipico, Bwin and Bet365?
and where it says ""draftkings"" in the copy change it to ""Tipico""",,,https://drive.google.com/drive/folders/1qzqu9fuDto-2u3aiSTp5RL3axx8mhY5T,New,,,1762465307.218179
Evergreen Banners and Newsletter Variations,"Mobile App, Newsletter",,11/06/25,320x50,Medium,"We have a figma with completed assets. Need evergreen versions of all assets which can always default to (not specific to one stock or earnings). Assets needed: banners, light mode, dark mode (320x50), NVIDIA earnings mobile app overlay (Nvidia version for upcoming earnings), 2 new newsletter variations highlighting polymarket's new earning markets with updated assets.",,https://www.figma.com/design/M58EGJQnQtFLwrYOQFbuKh/Elden-Home?node-id=327-517&t=rDPCfx3jYRNj26vo-1,,New,,,1762454474.985739
Football Themed Signup Banner,Display/Social,,11/05/25,,Medium,Create banners heavier on the offer including the wordmark. Text: GET $10 ON SIGN UP. Button copy: UNLOCK BONUS. Football themed with no IP infringement. Examples from Stake provided.,Screenshot 2025-11-05 at 4.16.22 PM.png,,Screenshot 2025-11-05 at 4.16.22 PM.png,New,,,1762377633.562739
Polymarket Logo + Football Creative,Yahoo Sports App,,11/05/25,317x110px,Medium,Polymarket logo + football for creative placement in Yahoo Sports app replacing chart image on left side. Text on right side: 'See real-time game odds and who's projected to win on Polymarket. View live odds on Polymarket ->'. Add 'Trade Live' or live pulse icon within it.,,,image.png,New,,,1762369108.668279
App Campaign Creatives for Google,Google Ads,,11/03/25,"1:1, 4:5, 1.91:1",High,"Need 3 versions of all creatives for App campaign with Google: Square 1:1, Vertical 4:5, Horizontal 1.91:1. Use approved static for launch (1:1s and 9:16s). Brainstorm to optimize for Google campaign with bolder text, messaging focused on now being legal/available/live in all 50 states, $10 sign up offer, making money, and mock buttons to drive clicks. Flip existing creative based on brainstorms to get assets ready for campaign.",https://support.google.com/google-ads/answer/13676244?hl=en#zippy=%2Capp-campaigns,https://www.figma.com/design/3M28yRzoYx1uGoAxFpDsJd/Hours-Share?node-id=44-53,Screenshot 2025-11-03 at 1.27.45 PM.png,New,,,1762195567.165999
